Zip,ICS,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv
90006,532111,1997,300,5,1.0,0,0,1,0,2,1,1997,504000,0,0,504000,378000
92649,531312,2005,71,12,1.0,0,12,1,1,3,1,2005,50000,1,49725,50000,25000
92101,531210,2005,29,18,1.0,0,18,1,1,1,1,2005,50000,1,50000,50000,25000
90016,532230,2005,73,6,1.0,1,6,1,1,1,1,2005,82804,1,48304,50000,25000
90242,531210,2005,42,5,1.0,12,5,1,1,1,1,2005,35000,1,33294,35000,17500
91030,531312,2005,84,12,1.0,3,12,1,1,1,1,2005,111500,0,0,90000,45000
91780,531390,2005,84,5,1.0,3,5,1,1,2,1,2005,50000,0,0,50000,25000
94706,532420,1997,84,1,1.0,0,0,1,1,2,1,1997,48449,0,0,50000,40000
94115,531210,2006,240,6,1.0,5,0,1,1,0,1,2006,557000,0,0,557000,557000
91789,531390,2005,43,3,1.0,2,3,1,1,1,1,2005,46003,1,34794,35000,17500
94519,531210,2006,268,5,1.0,3,8,1,1,0,1,2006,394200,1,230645,394200,295650
92108,531210,2005,11,2,1.0,0,2,1,1,1,1,2005,93595,1,13744,50000,25000
93906,531311,2005,33,1,2.0,0,1,1,1,2,1,2005,12970,0,8417,10000,5000
91606,532230,2005,84,4,1.0,0,4,1,2,1,1,2005,28500,0,0,28500,14250
92612,531210,2005,43,2,1.0,0,2,1,1,2,1,2005,25000,1,20357,25000,12500
91201,531311,2005,84,4,1.0,0,4,1,1,1,1,2005,79500,0,0,50000,25000
90010,531210,2005,32,1,1.0,0,1,1,1,2,1,2005,25000,1,14587,25000,12500
95521,532230,2005,23,6,1.0,0,6,1,1,2,1,2005,75000,1,36179,75000,37500
92084,531390,2006,240,34,1.0,6,34,1,1,0,1,2006,914000,0,0,914000,914000
92627,532299,2005,84,6,1.0,0,6,1,1,1,1,2005,30000,0,0,30000,15000
91342,532292,2005,58,1,1.0,0,1,1,1,2,1,2005,35000,1,32141,35000,17500
91364,531320,2005,36,3,1.0,0,3,1,1,2,1,2005,187000,1,93700,100000,50000
92411,532230,2005,63,12,1.0,0,12,1,1,2,1,2005,50000,1,45747,50000,25000
95337,531210,2006,41,1,1.0,1,1,1,1,1,1,2006,51751,1,29638,30000,15000
90211,531210,2005,84,3,2.0,0,3,1,1,2,1,2005,50000,0,0,50000,25000
93611,532230,1997,300,6,1.0,0,0,1,0,0,1,1999,302000,0,0,302000,226500
90266,531311,2005,84,80,1.0,0,80,1,1,2,1,2005,50000,0,0,50000,25000
95678,531210,2005,55,3,1.0,0,3,1,1,3,1,2005,109000,1,44496,50000,25000
91601,531210,2005,84,1,1.0,0,1,1,1,1,1,2005,92446,0,0,31000,15500
94523,531210,2005,84,6,1.0,0,6,1,1,1,1,2006,55000,0,0,50000,25000
91709,531190,2005,41,2,1.0,0,2,1,1,2,1,2005,81475,1,51609,52500,26250
92101,531210,2005,84,5,1.0,1,5,0,1,1,1,2005,93000,0,0,50000,25000
92553,531210,2005,36,5,1.0,0,5,0,1,2,1,2005,20000,0,0,20000,10000
91776,531120,2005,84,3,1.0,3,3,0,1,1,1,2005,69500,0,0,50000,25000
95010,531210,2005,53,2,1.0,2,2,0,1,3,1,2005,44750,1,25000,25000,12500
92549,531312,2005,84,5,2.0,0,5,0,1,1,1,2005,21500,0,0,10000,5000
90201,531210,2006,73,31,1.0,69,31,69149,1,1,1,2007,150000,0,0,150000,75000
94606,532230,2005,4,2,1.0,1,2,0,1,1,1,2005,20505,1,3783,10000,5000
90631,531210,2005,300,21,2.0,0,21,0,1,2,1,2005,1240000,0,0,1240000,930000
92110,532490,2005,84,21,1.0,50,50,0,1,2,1,2005,140000,0,0,140000,70000
92110,532490,2005,84,21,1.0,50,50,0,1,1,1,2007,22964,0,0,10000,5000
92544,532230,2005,78,2,1.0,2,2,0,1,2,1,2006,100000,1,48904,100000,85000
92234,531110,1997,300,9,1.0,0,0,1,0,0,1,1997,257000,0,0,257000,192750
90004,531210,2005,84,1,2.0,1,1,0,1,1,1,2006,65000,0,0,50000,25000
90293,531311,2005,59,5,2.0,0,5,0,1,1,1,2005,24046,1,20000,20000,10000
90303,531311,2005,63,2,2.0,0,2,0,1,1,1,2005,5000,1,4299,5000,2500
92883,531210,2005,51,5,1.0,1,5,0,1,2,1,2005,50000,1,40042,50000,25000
91106,531210,2006,54,3,1.0,2,3,1,2,1,1,2006,43509,1,28987,30000,15000
92501,532490,2006,240,20,1.0,3,0,1,1,0,1,2006,105000,0,0,105000,105000
91303,531390,2005,44,13,1.0,0,13,0,1,2,1,2005,45000,1,44239,45000,22500
92404,532120,2005,84,1,1.0,0,1,0,1,1,1,2005,61483,0,0,45000,22500
93433,532230,1997,120,7,1.0,0,0,1,0,0,1,1997,140000,0,0,140000,105000
94104,531311,2005,84,3,2.0,0,3,0,1,1,1,2005,70112,0,0,20000,10000
95821,531311,2005,61,1,1.0,1,2,0,1,1,1,2007,53450,1,19077,25000,12500
95621,531390,2005,22,1,2.0,9,10,0,2,1,1,2005,74432,1,39184,40000,20000
93905,532490,2006,120,6,1.0,0,6,1,1,0,1,2006,825000,0,0,825000,618750
90004,532111,1997,300,7,1.0,0,0,1,0,0,1,1998,720000,0,0,720000,540000
94510,531320,2005,49,2,1.0,2,2,0,1,2,1,2005,50000,1,38036,50000,25000
93654,532230,2005,60,2,1.0,2,2,0,1,2,1,2006,10800,0,0,10800,9180
90039,531120,2006,7,1,1.0,0,1,0,1,2,1,2005,45000,1,43770,45000,22500
92630,531110,1997,300,130,1.0,0,0,1,0,0,1,1997,369000,0,0,369000,276750
95603,531390,2006,39,1,2.0,0,1,0,1,1,1,2005,62267,1,23950,24000,12000
92009,531390,2006,84,1,1.0,0,1,0,1,1,1,2005,50000,0,0,50000,25000
90266,531210,2006,84,1,1.0,0,1,0,1,1,1,2005,329825,0,0,100000,50000
91762,531210,2006,84,1,1.0,3,1,0,1,2,1,2005,50000,0,0,50000,25000
91789,531210,2006,84,5,1.0,0,5,1,2,1,1,2006,98863,0,0,50000,25000
91362,532291,2006,84,5,1.0,2,5,1,2,1,1,2006,83768,0,0,30000,15000
92660,531311,2006,44,1,1.0,6,1,0,1,2,1,2005,100000,1,70294,100000,50000
90004,532111,1997,120,7,1.0,0,0,1,0,0,1,1997,100000,0,0,100000,75000
92026,531210,2006,56,3,1.0,2,3,0,1,1,1,2005,74300,1,70525,74300,37150
94541,532411,2006,84,2,1.0,0,2,0,1,1,1,2005,60399,0,0,25000,12500
90706,532111,1997,120,1,2.0,0,0,1,0,0,1,1997,50000,0,0,50000,40000
95361,531210,2006,43,9,1.0,0,9,0,1,2,1,2006,35000,1,19119,20000,10000
94089,531390,2006,84,1,2.0,1,2,0,1,1,1,2005,12973,0,0,10000,5000
91606,532230,2006,38,3,1.0,0,3,1,1,1,1,2006,49959,1,29219,30000,15000
92504,531390,2006,58,5,1.0,0,5,0,1,1,1,2006,37695,1,34164,35000,17500
94301,531210,2006,40,2,1.0,2,2,0,1,2,1,2006,100000,1,61731,100000,50000
90010,531110,2006,8,4,1.0,0,4,0,1,1,1,2005,209210,1,14193,50000,25000
92653,531390,2006,60,7,1.0,1,7,0,1,1,1,2006,40000,0,0,40000,20000
95677,531390,2006,57,13,2.0,0,13,0,1,1,1,2006,58292,1,39369,40000,20000
95825,531210,2006,51,10,1.0,1,10,0,1,1,1,2006,74500,1,50000,50000,25000
90025,531190,2006,84,5,1.0,1,6,0,1,1,1,2006,45736,0,0,25000,12500
90063,531210,2006,20,12,1.0,3,12,0,1,1,1,2006,84492,1,20886,35000,17500
95128,531390,2006,55,2,2.0,0,2,0,1,3,1,2006,12700,1,12317,12700,6350
95123,531210,2006,55,1,1.0,2,1,0,1,2,1,2006,25000,1,20635,25000,12500
94111,531210,2006,84,2,2.0,0,2,0,1,1,1,2006,252539,0,0,50000,25000
92701,531390,2006,240,13,1.0,3,0,1,1,0,1,2006,669000,0,0,669000,669000
92663,531210,2006,48,1,1.0,1,2,1,1,1,1,2007,60000,1,29997,30000,15000
95128,531210,2006,84,3,1.0,0,3,0,1,1,1,2006,49310,0,0,25800,12900
93060,531320,2006,53,2,2.0,2,2,0,1,2,1,2006,35000,1,15098,35000,17500
91205,531210,2006,300,4,1.0,4,8,0,1,2,1,2006,952000,0,0,952000,714000
92408,531390,2006,46,5,1.0,0,5,0,1,1,1,2006,133922,1,49000,50000,25000
90606,532299,2006,62,2,1.0,1,2,0,1,3,1,2006,10500,1,10500,10500,5250
91360,533110,1997,300,10,1.0,0,0,1,0,0,1,1998,500000,0,0,500000,375000
90046,531210,2006,84,3,2.0,0,3,0,1,1,1,2006,89500,0,0,50000,25000
92701,531210,2006,43,2,1.0,1,2,0,1,2,1,2006,79000,1,49500,50000,25000
94541,531210,2006,84,1,2.0,0,1,0,1,1,1,2006,65000,0,0,65000,32500
95212,531210,2006,49,1,2.0,0,1,0,1,2,1,2006,7000,1,6030,7000,3500
92109,531210,2006,52,1,2.0,0,1,0,1,1,1,2006,25029,1,9867,10000,5000
94108,532230,2006,84,4,1.0,1,4,0,1,2,1,2006,15000,0,0,15000,7500
95814,531210,2006,47,1,1.0,0,1,0,1,1,1,2006,46723,1,17840,25000,12500
95831,531210,2006,46,7,1.0,0,7,0,1,1,1,2006,85000,1,40977,50000,25000
95337,531210,2006,59,1,1.0,2,1,0,1,2,1,2006,50000,1,44467,50000,25000
92648,531210,2006,53,3,1.0,0,3,0,1,1,1,2006,31850,1,24400,25000,12500
91730,532490,2006,240,34,1.0,5,0,1,1,0,1,2006,905000,0,0,905000,905000
90020,532230,2006,84,2,1.0,2,2,0,1,2,1,2006,50000,0,0,50000,25000
92509,532230,1998,120,2,1.0,0,0,1,0,0,1,1997,50000,0,0,50000,40000
92336,531210,2006,54,4,1.0,1,4,15710,1,3,1,2006,79500,1,50000,50000,25000
90210,532310,2006,72,4,2.0,0,4,0,1,1,1,2006,35600,1,19800,20000,10000
92562,531320,2006,64,2,2.0,0,2,0,1,3,1,2006,14880,1,9935,10000,5000
91773,532412,2006,55,4,2.0,0,4,0,1,1,1,2006,9350,0,9350,10000,5000
91402,531210,2006,50,3,2.0,2,3,0,1,1,1,2006,60500,1,40250,40500,20250
90005,532230,2006,21,1,1.0,0,1,0,1,2,1,2006,50000,1,31469,50000,25000
95842,531210,2006,50,2,1.0,1,3,0,1,1,1,2006,32952,1,9477,10000,5000
94023,531210,2006,84,1,1.0,0,1,0,1,1,1,2006,50000,0,0,25000,12500
90041,532490,2006,84,1,2.0,0,1,0,1,1,1,2006,29000,0,0,10000,5000
91941,531210,2006,58,5,2.0,1,5,0,1,2,1,2006,25000,1,20198,25000,21250
92832,531311,2006,59,5,2.0,0,5,0,1,3,1,2006,50000,1,49995,50000,25000
91764,531210,2006,37,30,2.0,2,30,0,1,2,1,2006,25000,1,14733,25000,12500
92688,531312,2006,61,1,2.0,0,1,0,1,1,1,2006,77872,1,39444,41000,20500
91506,531320,2006,65,2,1.0,3,2,0,1,2,1,2006,25000,1,23373,25000,12500
95361,532490,2006,84,1,1.0,3,1,0,1,1,1,2006,452942,0,0,100000,50000
93021,531210,2006,42,13,1.0,1,13,0,1,2,1,2006,64500,1,44950,45000,22500
94124,532210,2006,84,2,1.0,0,2,0,1,1,1,2006,123471,0,0,50000,25000
90806,531390,2006,32,2,2.0,0,2,0,1,1,1,2006,37064,1,1963,36000,18000
93619,532490,2006,24,5,1.0,2,5,0,1,1,1,2006,92929,1,42580,50000,25000
91390,532490,2006,23,3,1.0,0,3,0,1,2,1,2006,20000,1,9210,20000,10000
92688,531210,2006,61,1,1.0,0,1,0,1,2,1,2006,50000,1,42170,50000,25000
92627,532291,2006,240,19,1.0,6,19,1,1,0,1,2006,1117000,0,0,1117000,1117000
92833,531210,2006,36,1,1.0,0,1,0,1,1,1,2006,14356,1,8704,10000,5000
90212,531210,2006,61,1,1.0,0,1,0,1,3,1,2006,17900,1,10000,10000,5000
92832,531320,2006,60,4,2.0,1,4,0,1,2,1,2006,100000,1,85306,100000,50000
94805,531210,2006,283,24,1.0,21,3,1,1,0,1,2006,1067000,1,527577,1067000,800250
92688,531210,2006,56,4,1.0,0,4,1,2,1,1,2006,62092,1,27308,30000,15000
90241,531210,2006,29,31,1.0,6,31,0,1,1,1,2006,133736,1,49091,50000,25000
92106,532111,2006,84,3,1.0,0,3,0,1,1,1,2006,50000,0,0,50000,25000
94574,531120,2006,84,2,2.0,0,2,0,1,1,1,2007,181219,0,0,50000,25000
92648,531390,2006,84,2,1.0,1,3,0,1,1,1,2006,89186,0,0,30000,15000
92056,531312,2006,84,1,1.0,1,2,0,1,1,1,2006,118885,0,0,49000,24500
92106,531210,2006,24,2,1.0,0,2,1,1,1,1,2006,399602,0,0,200000,100000
92648,531210,2006,71,1,1.0,0,1,0,1,3,1,2006,10000,1,10000,10000,5000
90249,531390,2006,64,5,1.0,3,5,0,1,2,1,2006,25000,1,23403,25000,12500
90005,531210,2006,35,1,1.0,0,1,0,1,1,1,2006,12414,1,4476,10000,5000
90010,531210,2006,55,7,1.0,3,7,0,1,2,1,2006,171248,1,99318,100000,50000
94111,531210,2006,84,1,2.0,0,1,0,1,1,1,2006,73000,0,0,63000,31500
93140,531210,2006,48,3,1.0,0,3,0,1,1,1,2006,15100,1,9900,10000,5000
90274,531110,2006,84,1,1.0,0,1,0,1,1,1,2006,89313,0,0,45000,22500
94536,531210,2006,61,38,1.0,0,38,0,1,1,1,2006,98493,1,40704,50000,25000
94577,533110,1998,120,1,2.0,0,0,1,0,0,1,1998,100000,0,0,100000,80000
91733,532490,2006,5,1,2.0,0,1,0,1,1,1,2006,14121,0,1580,10000,5000
92110,532490,2006,9,4,1.0,2,4,0,1,2,1,2006,25000,1,8471,25000,21250
94070,531390,2006,22,1,1.0,0,1,0,1,1,1,2006,23037,1,5491,15000,7500
94133,531210,2006,84,1,1.0,0,1,0,1,2,1,2006,25000,0,0,25000,12500
91208,531210,2006,52,1,2.0,0,1,0,1,2,1,2006,30000,1,27275,30000,15000
91208,531210,2006,300,8,1.0,4,4,1,1,0,1,2006,990000,0,0,990000,742500
95928,531390,2006,68,3,1.0,0,3,0,1,2,1,2006,25000,1,24229,25000,12500
95826,531390,2006,84,1,1.0,1,1,0,1,2,1,2006,25000,0,0,25000,12500
95540,532230,1998,120,1,1.0,0,0,1,0,0,1,1998,105000,0,0,105000,78750
94545,532420,2006,120,15,1.0,0,15,0,1,2,1,2006,1525000,0,0,1525000,1143750
93219,531190,2006,84,2,1.0,1,2,0,2,1,1,2006,50000,0,0,50000,42500
92592,531210,2006,120,3,2.0,2,5,0,1,2,1,2006,278400,0,0,278400,208800
94403,531320,2006,35,4,1.0,0,4,1,1,1,1,2006,26582,1,6651,10000,5000
90265,531210,2006,84,2,2.0,0,2,1,2,1,1,2006,10000,0,0,10000,5000
91745,532230,2006,50,5,1.0,1,5,1,1,1,1,2006,100000,1,94880,100000,50000
91786,531210,2006,84,3,2.0,0,3,1,1,0,1,2006,62000,0,0,62000,31000
96013,531311,2006,120,150,1.0,0,0,0,2,2,1,2006,2000000,0,0,2000000,1500000
92024,531210,2006,63,14,1.0,6,14,0,1,2,1,2006,50000,1,46028,50000,25000
94513,531210,2006,51,5,2.0,0,5,0,1,2,1,2006,39384,1,24245,25000,12500
95354,531210,2006,44,2,1.0,3,2,0,1,1,1,2006,60057,1,22498,25000,12500
95926,531190,2006,84,2,1.0,3,2,0,1,2,1,2006,15000,0,0,15000,7500
91340,532299,2006,45,4,2.0,0,4,0,1,2,1,2006,21689,1,9578,10000,5000
94403,531210,2006,45,4,1.0,0,4,0,1,2,1,2006,70015,1,49478,50000,25000
94117,531210,2006,84,8,1.0,3,11,0,1,1,1,2006,110174,0,0,50000,25000
92614,531311,2006,37,10,1.0,3,10,0,1,1,1,2006,160000,1,100000,100000,50000
93291,532490,2006,69,1,2.0,4,5,0,1,2,1,2006,184101,0,0,360000,270000
93292,532490,2006,32,1,2.0,4,5,0,1,1,1,2006,100000,0,0,100000,85000
90703,531320,2006,2,4,1.0,2,4,1,1,1,1,2006,92900,1,39700,40000,20000
92025,531210,2006,62,1,1.0,0,1,0,1,2,1,2006,50000,1,44319,50000,25000
92010,531210,2006,84,1,1.0,0,1,1,1,1,1,2006,109842,0,0,30000,15000
94534,531210,2006,24,12,1.0,0,12,0,1,1,1,2006,77200,1,21928,35000,17500
93021,531210,2006,58,2,1.0,1,2,0,1,2,1,2006,50000,1,43847,50000,25000
90720,531390,2006,84,2,1.0,0,2,0,1,1,1,2006,164554,0,0,50000,25000
91316,531390,2006,51,12,1.0,3,12,0,1,2,1,2006,50000,1,37140,50000,25000
91784,531320,2006,84,4,1.0,2,4,0,1,2,1,2006,25000,0,0,25000,12500
95363,531390,2006,38,3,1.0,0,3,0,1,1,1,2006,18063,1,9703,10000,5000
95054,531210,2006,50,2,1.0,0,2,0,1,2,1,2006,55000,1,35000,35000,17500
95128,531210,2006,84,1,1.0,0,1,0,1,1,1,2006,20000,0,0,10000,5000
95023,531210,2006,55,10,1.0,0,10,0,1,1,1,2006,64000,1,35000,35000,17500
93711,531210,2006,58,13,1.0,1,13,0,1,1,1,2006,159500,1,99500,100000,50000
91941,531210,2006,54,1,1.0,0,1,1,1,1,1,2006,165193,1,45818,50000,25000
95758,531311,2006,64,2,1.0,0,2,0,1,3,1,2006,105000,1,30573,35000,17500
93702,532230,2006,84,1,1.0,1,1,0,1,1,1,2009,5000,0,0,5000,2500
94044,531390,2006,84,1,1.0,0,1,0,1,1,1,2006,10000,0,0,10000,5000
92544,532420,2006,120,23,1.0,0,23,1357,1,0,1,2006,1000000,0,0,1000000,750000
90680,531210,2006,84,2,1.0,0,2,0,1,2,1,2006,25000,0,0,25000,12500
90680,531210,2006,84,2,1.0,0,2,0,1,1,1,2007,25015,0,0,25000,12500
95624,531210,2006,64,2,2.0,0,2,0,1,3,1,2006,10000,1,10000,10000,5000
93612,531120,2006,120,1,2.0,5,6,0,1,2,1,2006,320000,0,0,320000,240000
94523,531320,2006,59,2,1.0,1,3,0,1,1,1,2006,33967,1,16557,20000,10000
94303,531390,2006,23,3,1.0,3,3,0,1,1,1,2006,84349,1,31833,35000,17500
90212,531311,2006,84,6,2.0,10,6,0,1,1,1,2009,5000,0,0,5000,2500
95816,531210,2006,60,2,1.0,2,4,0,1,2,1,2006,28000,0,0,28000,14000
94070,531390,2006,84,1,1.0,0,1,0,1,1,1,2006,263954,0,0,40000,20000
95401,531210,2006,240,1,1.0,9,0,1,1,0,1,2006,454000,0,0,454000,454000
94928,532299,2006,65,1,1.0,2,1,0,1,1,1,2006,40000,1,35000,35000,17500
95678,531390,2006,84,2,1.0,1,3,0,1,1,1,2006,11975,0,0,10000,5000
90804,531210,2006,84,3,2.0,0,3,0,2,1,1,2009,5000,0,0,5000,2500
91304,532490,2006,84,1,1.0,0,1,1,1,1,1,2006,89947,0,0,35000,17500
90036,532490,2006,90,2,1.0,1,1,1,1,0,1,2006,125000,0,0,125000,106250
90071,531210,2006,51,7,1.0,0,7,0,1,2,1,2006,75000,1,35000,35000,17500
94129,531210,2006,42,13,1.0,0,13,0,1,3,1,2006,64000,1,30588,35000,17500
91342,532292,2006,44,1,2.0,0,1,1,1,1,1,2006,9500,1,3533,5500,2750
95451,531210,2006,240,35,1.0,10,0,18000,1,0,1,2006,161000,0,0,167000,167000
90505,532111,1998,109,6,1.0,0,0,1,0,0,1,1998,808600,0,0,970000,727500
93257,532299,2006,300,2,2.0,2,2,0,2,2,1,2006,76500,0,0,76500,65025
93257,532299,2006,84,2,2.0,2,2,0,2,2,1,2006,12500,0,0,12500,10625
